20191226-174001  ; RECEIVED_RATE ; 1056 ; SENT_RATE ; 56
20191226-174501  ; RECEIVED_RATE ; 192 ; SENT_RATE ; 16
20191226-175001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-175501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-180001  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 0
20191226-180501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-181002  ; RECEIVED_RATE ; 112 ; SENT_RATE ; 8
20191226-181501  ; RECEIVED_RATE ; -78112 ; SENT_RATE ; 600
20191226-182001  ; RECEIVED_RATE ; 10128 ; SENT_RATE ; 80
20191226-182501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 0
20191226-183001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-183502  ; RECEIVED_RATE ; 192 ; SENT_RATE ; 8
20191226-184001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-184501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 8
20191226-185001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-185501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-190001  ; RECEIVED_RATE ; 88 ; SENT_RATE ; 32
20191226-190501  ; RECEIVED_RATE ; 112 ; SENT_RATE ; 40
20191226-191001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 0
20191226-191501  ; RECEIVED_RATE ; 56 ; SENT_RATE ; 136
20191226-192001  ; RECEIVED_RATE ; 56 ; SENT_RATE ; 376
20191226-192501  ; RECEIVED_RATE ; 48 ; SENT_RATE ; 216
20191226-193001  ; RECEIVED_RATE ; 376 ; SENT_RATE ; 352
20191226-193501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 24
20191226-194002  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-194501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
